DATE, +@Conditional, +@Profile, -@Conditional, -@Profile
2014-02-23 17:52:18-05:00,1,0,0,0
2014-02-24 11:31:22-05:00,1,0,0,0
2014-03-01 08:24:11-05:00,0,0,1,0
2014-03-01 08:24:11-05:00,1,0,0,0
2014-03-01 08:24:11-05:00,0,0,1,0
2014-03-16 22:18:00-04:00,0,0,1,0
2014-03-17 20:21:11-04:00,0,0,1,0
2014-03-19 06:49:37-04:00,1,0,0,0
2014-11-03 16:10:55+01:00,0,1,0,0
2014-11-04 20:47:50+01:00,0,1,0,0
2014-11-04 20:47:50+01:00,0,1,0,0
2014-11-17 10:47:48+01:00,0,1,0,1
2014-11-26 17:49:29+01:00,0,1,0,0
2014-11-26 17:49:29+01:00,0,1,0,0
2014-11-26 17:49:29+01:00,0,1,0,1
2014-11-26 17:49:29+01:00,0,1,0,1
2014-11-26 17:49:29+01:00,0,1,0,0
2014-11-26 17:49:29+01:00,0,1,0,0
2015-02-12 23:27:38+01:00,1,0,0,0
2015-02-12 23:27:38+01:00,1,0,0,0
2015-05-20 11:42:47+02:00,0,1,0,0
2015-06-16 00:03:41+02:00,0,1,0,1
2015-06-16 01:17:41+02:00,0,1,0,1
2015-06-16 16:18:41+02:00,0,1,0,1
2015-06-24 01:13:43+02:00,0,1,0,1
2015-10-01 18:17:05+02:00,0,0,0,1
2015-10-01 19:46:12+02:00,0,1,0,1
2015-10-22 14:35:41+02:00,0,0,1,0
2015-10-22 14:35:41+02:00,0,0,1,0
2015-12-13 16:11:56-05:00,0,1,0,1
2016-01-27 19:37:30+08:00,0,0,0,1
2016-01-27 19:40:37+08:00,0,0,0,1
2016-03-17 18:23:09+08:00,1,0,0,0
2016-03-17 18:23:09+08:00,1,0,0,1
2016-03-25 14:29:02+08:00,1,1,1,0
2016-03-25 14:29:02+08:00,1,1,1,0
2016-03-25 18:53:52+08:00,1,0,1,0
2016-05-10 09:03:01+00:00,1,0,0,0
2016-07-01 16:39:17+02:00,0,1,0,0
2016-07-03 10:18:33+02:00,0,1,1,1
2016-07-03 10:18:33+02:00,0,1,1,1
2016-07-18 15:59:56+02:00,0,1,0,0
2016-07-22 11:57:46-07:00,0,1,1,1
2016-07-22 11:57:46-07:00,0,1,1,1
2016-08-09 14:40:08-05:00,0,0,0,1
2016-09-20 18:21:30+02:00,0,0,0,1
2016-10-21 14:15:26+02:00,0,0,0,1
2016-11-20 16:22:34-05:00,0,1,0,0
2016-11-20 16:22:34-05:00,0,1,0,0
2016-12-13 18:11:41+01:00,0,1,0,1
2016-12-13 18:11:41+01:00,0,1,0,1
2016-12-13 18:11:41+01:00,0,1,0,1
2016-12-13 18:11:41+01:00,0,1,0,1
2016-12-13 18:11:41+01:00,0,1,0,1
2016-12-13 18:11:41+01:00,0,1,0,1
2016-12-14 15:12:32+01:00,0,1,0,1
2016-12-15 18:53:28+01:00,0,0,0,1
2016-12-15 18:53:28+01:00,0,0,0,1
2017-07-25 23:17:57+02:00,0,1,0,1
2017-08-17 17:54:41+02:00,1,0,0,0
2017-09-29 11:05:19-07:00,0,1,0,0
2017-11-26 19:33:18-08:00,0,1,0,1
2017-12-04 20:49:20+07:00,0,0,1,0
2018-01-23 15:56:58+01:00,1,0,0,0
2018-02-26 10:22:21+11:00,0,1,0,0
2018-02-27 13:38:35+11:00,0,1,0,0
2019-03-16 07:39:02-06:00,0,0,0,1
