2017-6 ; 0 ; 0
2017-7 ; 0 ; 3
2017-8 ; 0 ; 3
2017-9 ; 0 ; 3
2017-10 ; 0 ; 3
2017-11 ; 0 ; 3
2017-12 ; 0 ; 3
2018-1 ; 0 ; 3
2018-2 ; 0 ; 3
2018-3 ; 0 ; 3
2018-4 ; 0 ; 3
2018-5 ; 0 ; 4
2018-6 ; 0 ; 4
2018-7 ; 0 ; 4
2018-8 ; 0 ; 4
2018-9 ; 0 ; 4
2018-10 ; 0 ; 4
2018-11 ; 0 ; 5
2018-12 ; 0 ; 10
2019-1 ; 0 ; 10
2019-2 ; 0 ; 10
2019-3 ; 0 ; 10
2019-4 ; 0 ; 10
2019-5 ; 0 ; 10
2019-6 ; 0 ; 10
2019-7 ; 0 ; 10
2019-9 ; 0 ; 10
2019-10 ; 0 ; 10
2019-11 ; 0 ; 11
2019-12 ; 0 ; 11
2020-1 ; 0 ; 11
2020-2 ; 0 ; 11
